# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
14.3,0.511791,0,-4.67559,0,-0.19285,3.14159
14.4,0.516446,0,-4.6729,0,-0.171952,3.14159
14.5,0.521219,0,-4.67015,0,-0.150572,3.14159
14.6,0.526116,0,-4.66734,0,-0.128758,3.14159
14.7,0.531142,0,-4.66447,0,-0.106554,3.14159
14.8,0.536303,0,-4.66152,0,-0.0840059,3.14159
14.9,0.541605,0,-4.65849,0,-0.0611565,3.14159
15,0.547052,0,-4.65538,0,-0.0380485,3.14159
15.1,0.552649,0,-4.65217,0,-0.0147233,3.14159
15.2,0.558402,0,-4.64886,0,0.00877882,3.14159
15.3,0.564315,0,-4.64544,0,0.0324185,3.14159
15.4,0.570392,0,-4.64191,0,0.0561575,3.14159
15.5,0.576637,0,-4.63825,0,0.0799587,3.14159
15.6,0.583055,0,-4.63447,0,0.103786,3.14159
15.7,0.589648,0,-4.63054,0,0.127605,3.14159
15.8,0.596419,0,-4.62646,0,0.151381,3.14159
15.9,0.603372,0,-4.62223,0,0.175082,3.14159
16,0.610508,0,-4.61783,0,0.198677,3.14159
16.1,0.61783,0,-4.61326,0,0.222135,3.14159
16.2,0.62534,0,-4.60851,0,0.245427,3.14159
16.3,0.633039,0,-4.60357,0,0.268526,3.14159
16.4,0.640928,0,-4.59842,0,0.291406,3.14159
16.5,0.649007,0,-4.59307,0,0.314041,3.14159
16.6,0.657278,0,-4.5875,0,0.336408,3.14159
16.7,0.665739,0,-4.58171,0,0.358484,3.14159
16.8,0.674392,0,-4.57569,0,0.380247,3.14159
16.9,0.683234,0,-4.56942,0,0.401679,3.14159
17,0.692265,0,-4.56291,0,0.422761,3.14159
17.1,0.701484,0,-4.55614,0,0.443475,3.14159
17.2,0.710889,0,-4.5491,0,0.463807,3.14159
17.3,0.720479,0,-4.54179,0,0.48374,3.14159
17.4,0.730251,0,-4.53421,0,0.503263,3.14159
17.5,0.740204,0,-4.52634,0,0.522362,3.14159
17.6,0.750335,0,-4.51818,0,0.541029,3.14159
17.7,0.760641,0,-4.50972,0,0.559252,3.14159
17.8,0.771119,0,-4.50095,0,0.577024,3.14159
